ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93292,2,2019,Elec- Agricultural,Y,0,0,NA
93292,3,2019,Elec- Agricultural,Y,0,0,NA
93301,1,2019,Elec- Agricultural,Y,0,0,NA
93301,2,2019,Elec- Agricultural,Y,0,0,NA
93301,3,2019,Elec- Agricultural,Y,0,0,NA
93304,1,2019,Elec- Agricultural,Y,0,0,NA
93304,2,2019,Elec- Agricultural,Y,0,0,NA
93304,3,2019,Elec- Agricultural,Y,0,0,NA
93305,1,2019,Elec- Agricultural,Y,0,0,NA
93305,2,2019,Elec- Agricultural,Y,0,0,NA
93305,3,2019,Elec- Agricultural,Y,0,0,NA
93306,1,2019,Elec- Agricultural,Y,0,0,NA
93306,2,2019,Elec- Agricultural,Y,0,0,NA
93306,3,2019,Elec- Agricultural,Y,0,0,NA
93307,1,2019,Elec- Agricultural,Y,948,14656325,15460
93307,2,2019,Elec- Agricultural,Y,1157,16622210,14367
93307,3,2019,Elec- Agricultural,Y,1471,32409685,22032
93308,1,2019,Elec- Agricultural,Y,0,0,NA
93308,2,2019,Elec- Agricultural,Y,0,0,NA
93308,3,2019,Elec- Agricultural,Y,0,0,NA
93309,1,2019,Elec- Agricultural,Y,0,0,NA
93309,2,2019,Elec- Agricultural,Y,0,0,NA
93309,3,2019,Elec- Agricultural,Y,0,0,NA
93311,1,2019,Elec- Agricultural,Y,0,0,NA
93311,2,2019,Elec- Agricultural,Y,0,0,NA
93311,3,2019,Elec- Agricultural,Y,0,0,NA
93312,1,2019,Elec- Agricultural,Y,0,0,NA
93312,2,2019,Elec- Agricultural,Y,0,0,NA
93312,3,2019,Elec- Agricultural,Y,0,0,NA
93313,1,2019,Elec- Agricultural,Y,0,0,NA
93313,2,2019,Elec- Agricultural,Y,0,0,NA
93313,3,2019,Elec- Agricultural,Y,0,0,NA
93314,1,2019,Elec- Agricultural,Y,0,0,NA
93314,2,2019,Elec- Agricultural,Y,0,0,NA
93314,3,2019,Elec- Agricultural,Y,0,0,NA
93401,1,2019,Elec- Agricultural,Y,0,0,NA
93401,2,2019,Elec- Agricultural,Y,0,0,NA
93401,3,2019,Elec- Agricultural,Y,0,0,NA
93402,1,2019,Elec- Agricultural,Y,0,0,NA
93402,2,2019,Elec- Agricultural,Y,0,0,NA
93402,3,2019,Elec- Agricultural,Y,0,0,NA
93405,1,2019,Elec- Agricultural,Y,0,0,NA
93405,2,2019,Elec- Agricultural,Y,0,0,NA
93405,3,2019,Elec- Agricultural,Y,0,0,NA
93420,1,2019,Elec- Agricultural,Y,2271,9522761,4193
93420,2,2019,Elec- Agricultural,Y,0,0,NA
93420,3,2019,Elec- Agricultural,Y,0,0,NA
93422,1,2019,Elec- Agricultural,Y,0,0,NA
93422,2,2019,Elec- Agricultural,Y,0,0,NA
93422,3,2019,Elec- Agricultural,Y,0,0,NA
93426,1,2019,Elec- Agricultural,Y,0,0,NA
93426,2,2019,Elec- Agricultural,Y,0,0,NA
93426,3,2019,Elec- Agricultural,Y,0,0,NA
93427,1,2019,Elec- Agricultural,Y,0,0,NA
93427,2,2019,Elec- Agricultural,Y,0,0,NA
93427,3,2019,Elec- Agricultural,Y,0,0,NA
93428,1,2019,Elec- Agricultural,Y,0,0,NA
93428,2,2019,Elec- Agricultural,Y,0,0,NA
93428,3,2019,Elec- Agricultural,Y,0,0,NA
93429,1,2019,Elec- Agricultural,Y,0,0,NA
93429,2,2019,Elec- Agricultural,Y,0,0,NA
93429,3,2019,Elec- Agricultural,Y,0,0,NA
93430,1,2019,Elec- Agricultural,Y,0,0,NA
93430,2,2019,Elec- Agricultural,Y,0,0,NA
93430,3,2019,Elec- Agricultural,Y,0,0,NA
93432,1,2019,Elec- Agricultural,Y,0,0,NA
93432,2,2019,Elec- Agricultural,Y,0,0,NA
93432,3,2019,Elec- Agricultural,Y,0,0,NA
93433,1,2019,Elec- Agricultural,Y,0,0,NA
93433,2,2019,Elec- Agricultural,Y,0,0,NA
93433,3,2019,Elec- Agricultural,Y,0,0,NA
93434,1,2019,Elec- Agricultural,Y,0,0,NA
93434,2,2019,Elec- Agricultural,Y,0,0,NA
93434,3,2019,Elec- Agricultural,Y,0,0,NA
93435,1,2019,Elec- Agricultural,Y,0,0,NA
93435,2,2019,Elec- Agricultural,Y,0,0,NA
93435,3,2019,Elec- Agricultural,Y,0,0,NA
93436,1,2019,Elec- Agricultural,Y,0,0,NA
93436,2,2019,Elec- Agricultural,Y,141,167807,1190
93436,3,2019,Elec- Agricultural,Y,0,0,NA
93437,1,2019,Elec- Agricultural,Y,0,0,NA
93437,2,2019,Elec- Agricultural,Y,0,0,NA
93437,3,2019,Elec- Agricultural,Y,0,0,NA
93441,1,2019,Elec- Agricultural,Y,0,0,NA
93441,2,2019,Elec- Agricultural,Y,0,0,NA
93441,3,2019,Elec- Agricultural,Y,0,0,NA
93442,1,2019,Elec- Agricultural,Y,0,0,NA
93442,2,2019,Elec- Agricultural,Y,0,0,NA
93442,3,2019,Elec- Agricultural,Y,0,0,NA
93444,1,2019,Elec- Agricultural,Y,0,0,NA
93444,2,2019,Elec- Agricultural,Y,0,0,NA
93444,3,2019,Elec- Agricultural,Y,0,0,NA
93445,1,2019,Elec- Agricultural,Y,0,0,NA
93445,2,2019,Elec- Agricultural,Y,0,0,NA
93445,3,2019,Elec- Agricultural,Y,0,0,NA
93446,1,2019,Elec- Agricultural,Y,0,0,NA
93446,2,2019,Elec- Agricultural,Y,1557,1718036,1103
93446,3,2019,Elec- Agricultural,Y,1556,2301939,1479
93449,1,2019,Elec- Agricultural,Y,0,0,NA
93449,2,2019,Elec- Agricultural,Y,0,0,NA
93449,3,2019,Elec- Agricultural,Y,0,0,NA
93450,1,2019,Elec- Agricultural,Y,0,0,NA
93450,2,2019,Elec- Agricultural,Y,0,0,NA
93450,3,2019,Elec- Agricultural,Y,0,0,NA
93451,1,2019,Elec- Agricultural,Y,0,0,NA
93451,2,2019,Elec- Agricultural,Y,0,0,NA
93451,3,2019,Elec- Agricultural,Y,0,0,NA
93452,1,2019,Elec- Agricultural,Y,0,0,NA
93452,2,2019,Elec- Agricultural,Y,0,0,NA
93452,3,2019,Elec- Agricultural,Y,0,0,NA
93453,1,2019,Elec- Agricultural,Y,0,0,NA
93453,2,2019,Elec- Agricultural,Y,0,0,NA
93453,3,2019,Elec- Agricultural,Y,0,0,NA
93454,1,2019,Elec- Agricultural,Y,0,0,NA
93454,2,2019,Elec- Agricultural,Y,0,0,NA
93454,3,2019,Elec- Agricultural,Y,0,0,NA
93455,1,2019,Elec- Agricultural,Y,0,0,NA
93455,2,2019,Elec- Agricultural,Y,0,0,NA
93455,3,2019,Elec- Agricultural,Y,0,0,NA
93458,1,2019,Elec- Agricultural,Y,0,0,NA
93458,2,2019,Elec- Agricultural,Y,0,0,NA
93458,3,2019,Elec- Agricultural,Y,0,0,NA
93460,1,2019,Elec- Agricultural,Y,283,371107,1311
93460,2,2019,Elec- Agricultural,Y,1019,11773003,11553
93460,3,2019,Elec- Agricultural,Y,1116,11362346,10181
93461,1,2019,Elec- Agricultural,Y,0,0,NA
93461,2,2019,Elec- Agricultural,Y,0,0,NA
93461,3,2019,Elec- Agricultural,Y,0,0,NA
93463,1,2019,Elec- Agricultural,Y,0,0,NA
93463,2,2019,Elec- Agricultural,Y,0,0,NA
93463,3,2019,Elec- Agricultural,Y,0,0,NA
93465,1,2019,Elec- Agricultural,Y,0,0,NA
93465,2,2019,Elec- Agricultural,Y,0,0,NA
93465,3,2019,Elec- Agricultural,Y,0,0,NA
93601,1,2019,Elec- Agricultural,Y,0,0,NA
93601,2,2019,Elec- Agricultural,Y,0,0,NA
93601,3,2019,Elec- Agricultural,Y,0,0,NA
93602,1,2019,Elec- Agricultural,Y,0,0,NA
93602,2,2019,Elec- Agricultural,Y,0,0,NA
93602,3,2019,Elec- Agricultural,Y,0,0,NA
93603,1,2019,Elec- Agricultural,Y,0,0,NA
93603,2,2019,Elec- Agricultural,Y,0,0,NA
93603,3,2019,Elec- Agricultural,Y,0,0,NA
93608,1,2019,Elec- Agricultural,Y,0,0,NA
93608,2,2019,Elec- Agricultural,Y,0,0,NA
93608,3,2019,Elec- Agricultural,Y,160,1651999,10325
93609,1,2019,Elec- Agricultural,Y,0,0,NA
93609,2,2019,Elec- Agricultural,Y,493,3103363,6295
93609,3,2019,Elec- Agricultural,Y,695,5935513,8540
93610,1,2019,Elec- Agricultural,Y,777,4429365,5701
93610,2,2019,Elec- Agricultural,Y,0,0,NA
93610,3,2019,Elec- Agricultural,Y,824,5934361,7202
93611,1,2019,Elec- Agricultural,Y,0,0,NA
93611,2,2019,Elec- Agricultural,Y,0,0,NA
93611,3,2019,Elec- Agricultural,Y,0,0,NA
93612,1,2019,Elec- Agricultural,Y,0,0,NA
93612,2,2019,Elec- Agricultural,Y,0,0,NA
93612,3,2019,Elec- Agricultural,Y,0,0,NA
93614,1,2019,Elec- Agricultural,Y,0,0,NA
93614,2,2019,Elec- Agricultural,Y,0,0,NA
93614,3,2019,Elec- Agricultural,Y,0,0,NA
93615,1,2019,Elec- Agricultural,Y,0,0,NA
93615,2,2019,Elec- Agricultural,Y,0,0,NA
93615,3,2019,Elec- Agricultural,Y,0,0,NA
93616,1,2019,Elec- Agricultural,Y,0,0,NA
93616,2,2019,Elec- Agricultural,Y,0,0,NA
93616,3,2019,Elec- Agricultural,Y,0,0,NA
93618,1,2019,Elec- Agricultural,Y,0,0,NA
93618,2,2019,Elec- Agricultural,Y,0,0,NA
93618,3,2019,Elec- Agricultural,Y,0,0,NA
93619,1,2019,Elec- Agricultural,Y,0,0,NA
93619,2,2019,Elec- Agricultural,Y,0,0,NA
93619,3,2019,Elec- Agricultural,Y,0,0,NA
93620,1,2019,Elec- Agricultural,Y,0,0,NA
93620,2,2019,Elec- Agricultural,Y,0,0,NA
93620,3,2019,Elec- Agricultural,Y,0,0,NA
93621,1,2019,Elec- Agricultural,Y,0,0,NA
93621,2,2019,Elec- Agricultural,Y,0,0,NA
