ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93612,3,2020,Gas- Commercial,Y,2329,657391,282
93616,1,2020,Gas- Commercial,Y,0,0,NA
93616,2,2020,Gas- Commercial,Y,0,0,NA
93616,3,2020,Gas- Commercial,Y,0,0,NA
93619,1,2020,Gas- Commercial,Y,0,0,NA
93619,2,2020,Gas- Commercial,Y,0,0,NA
93619,3,2020,Gas- Commercial,Y,0,0,NA
93620,1,2020,Gas- Commercial,Y,0,0,NA
93620,2,2020,Gas- Commercial,Y,0,0,NA
93620,3,2020,Gas- Commercial,Y,0,0,NA
93622,1,2020,Gas- Commercial,Y,0,0,NA
93622,2,2020,Gas- Commercial,Y,0,0,NA
93622,3,2020,Gas- Commercial,Y,0,0,NA
93625,1,2020,Gas- Commercial,Y,0,0,NA
93625,2,2020,Gas- Commercial,Y,0,0,NA
93625,3,2020,Gas- Commercial,Y,0,0,NA
93627,1,2020,Gas- Commercial,Y,0,0,NA
93627,2,2020,Gas- Commercial,Y,0,0,NA
93627,3,2020,Gas- Commercial,Y,0,0,NA
93630,1,2020,Gas- Commercial,Y,0,0,NA
93630,2,2020,Gas- Commercial,Y,0,0,NA
93630,3,2020,Gas- Commercial,Y,0,0,NA
93631,1,2020,Gas- Commercial,Y,0,0,NA
93631,2,2020,Gas- Commercial,Y,0,0,NA
93631,3,2020,Gas- Commercial,Y,0,0,NA
93635,1,2020,Gas- Commercial,Y,583,221294,380
93635,2,2020,Gas- Commercial,Y,584,170108,291
93635,3,2020,Gas- Commercial,Y,704,196348,279
93636,1,2020,Gas- Commercial,Y,0,0,NA
93636,2,2020,Gas- Commercial,Y,0,0,NA
93636,3,2020,Gas- Commercial,Y,0,0,NA
93637,1,2020,Gas- Commercial,Y,819,555716,679
93637,2,2020,Gas- Commercial,Y,1065,529529,497
93637,3,2020,Gas- Commercial,Y,660,369232,559
93638,1,2020,Gas- Commercial,N,312,131041,420
93638,2,2020,Gas- Commercial,N,313,96246,307
93638,3,2020,Gas- Commercial,N,311,78616,253
93640,1,2020,Gas- Commercial,Y,0,0,NA
93640,2,2020,Gas- Commercial,Y,0,0,NA
93640,3,2020,Gas- Commercial,Y,0,0,NA
93650,1,2020,Gas- Commercial,N,127,38126,300
93650,2,2020,Gas- Commercial,N,127,27575,217
93650,3,2020,Gas- Commercial,N,127,21012,165
93657,1,2020,Gas- Commercial,Y,0,0,NA
93657,2,2020,Gas- Commercial,Y,0,0,NA
93657,3,2020,Gas- Commercial,Y,0,0,NA
93660,1,2020,Gas- Commercial,Y,0,0,NA
93660,2,2020,Gas- Commercial,Y,0,0,NA
93660,3,2020,Gas- Commercial,Y,0,0,NA
93662,1,2020,Gas- Commercial,Y,0,0,NA
93662,2,2020,Gas- Commercial,Y,0,0,NA
93662,3,2020,Gas- Commercial,Y,463,141646,306
93668,1,2020,Gas- Commercial,Y,0,0,NA
93668,2,2020,Gas- Commercial,Y,0,0,NA
93668,3,2020,Gas- Commercial,Y,0,0,NA
93701,1,2020,Gas- Commercial,Y,0,0,NA
93701,2,2020,Gas- Commercial,Y,0,0,NA
93701,3,2020,Gas- Commercial,Y,0,0,NA
93702,1,2020,Gas- Commercial,Y,0,0,NA
93702,2,2020,Gas- Commercial,Y,0,0,NA
93702,3,2020,Gas- Commercial,Y,0,0,NA
93703,1,2020,Gas- Commercial,Y,933,308793,331
93703,2,2020,Gas- Commercial,Y,929,230166,248
93703,3,2020,Gas- Commercial,Y,924,213307,231
93704,1,2020,Gas- Commercial,Y,0,0,NA
93704,2,2020,Gas- Commercial,Y,0,0,NA
93704,3,2020,Gas- Commercial,Y,0,0,NA
93705,1,2020,Gas- Commercial,Y,0,0,NA
93705,2,2020,Gas- Commercial,Y,0,0,NA
93705,3,2020,Gas- Commercial,Y,0,0,NA
93706,1,2020,Gas- Commercial,Y,2447,2026310,828
93706,2,2020,Gas- Commercial,Y,0,0,NA
93706,3,2020,Gas- Commercial,Y,0,0,NA
93710,1,2020,Gas- Commercial,Y,0,0,NA
93710,2,2020,Gas- Commercial,Y,0,0,NA
93710,3,2020,Gas- Commercial,Y,0,0,NA
93711,1,2020,Gas- Commercial,Y,1190,338890,285
93711,2,2020,Gas- Commercial,Y,1191,249910,210
93711,3,2020,Gas- Commercial,Y,1189,188697,159
93720,1,2020,Gas- Commercial,Y,1962,907051,462
93720,2,2020,Gas- Commercial,Y,3402,1195450,351
93720,3,2020,Gas- Commercial,Y,1073,306476,286
93721,1,2020,Gas- Commercial,Y,0,0,NA
93721,2,2020,Gas- Commercial,Y,0,0,NA
93721,3,2020,Gas- Commercial,Y,0,0,NA
93722,1,2020,Gas- Commercial,Y,1092,468613,429
93722,2,2020,Gas- Commercial,Y,3793,2110282,556
93722,3,2020,Gas- Commercial,Y,3387,1697950,501
93723,1,2020,Gas- Commercial,Y,0,0,NA
93723,2,2020,Gas- Commercial,Y,0,0,NA
93723,3,2020,Gas- Commercial,Y,0,0,NA
93725,1,2020,Gas- Commercial,Y,0,0,NA
93725,2,2020,Gas- Commercial,Y,0,0,NA
93725,3,2020,Gas- Commercial,Y,0,0,NA
93726,1,2020,Gas- Commercial,Y,1025,475668,464
93726,2,2020,Gas- Commercial,Y,1024,335757,328
93726,3,2020,Gas- Commercial,Y,1021,254041,249
93727,1,2020,Gas- Commercial,Y,1863,947930,509
93727,2,2020,Gas- Commercial,Y,1390,483607,348
93727,3,2020,Gas- Commercial,Y,1391,385928,277
93728,1,2020,Gas- Commercial,Y,0,0,NA
93728,2,2020,Gas- Commercial,Y,0,0,NA
