CUSTOMERCLASS,DATE,TOTALKBTU
Gas- Commercial,2017-02-01,7200978.5547
Gas- Commercial,2017-03-01,5974771.6882
Gas- Commercial,2017-01-01,13326614.1778
Gas- Commercial,2017-02-01,9972515.9989
Gas- Commercial,2017-03-01,8028880.6388
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,36263131.0398
Gas- Commercial,2017-02-01,29606022.4691
Gas- Commercial,2017-03-01,25460313.5304
Gas- Commercial,2017-01-01,33589470.1975
Gas- Commercial,2017-02-01,21585739.7749
Gas- Commercial,2017-03-01,18355012.1034
Gas- Commercial,2017-01-01,33697144.4572
Gas- Commercial,2017-02-01,18565961.6744
Gas- Commercial,2017-03-01,15551282.355
Gas- Commercial,2017-01-01,39428674.2941
Gas- Commercial,2017-02-01,27143711.1022
Gas- Commercial,2017-03-01,24428560.1784
Gas- Commercial,2017-01-01,36405596.9823
Gas- Commercial,2017-02-01,24533835.0117
Gas- Commercial,2017-03-01,20619070.864
Gas- Commercial,2017-01-01,26342802.5651
Gas- Commercial,2017-02-01,17567300.4115
Gas- Commercial,2017-03-01,14651597.4311
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,48671064.8347
Gas- Commercial,2017-02-01,31466777.6423
Gas- Commercial,2017-03-01,26054771.421
Gas- Commercial,2017-01-01,35330753.9312
Gas- Commercial,2017-02-01,21461669.4348
Gas- Commercial,2017-03-01,16611628.8716
Gas- Commercial,2017-01-01,9020643.5508
Gas- Commercial,2017-02-01,6217413.6829
Gas- Commercial,2017-03-01,5346421.8997
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,35472620.0171
Gas- Commercial,2017-02-01,24065446.9832
Gas- Commercial,2017-03-01,22785652.9271
Gas- Commercial,2017-01-01,11767186.97
Gas- Commercial,2017-02-01,8952759.7789
Gas- Commercial,2017-03-01,8969455.7876
Gas- Commercial,2017-01-01,14284585.168
Gas- Commercial,2017-02-01,10584169.7787
Gas- Commercial,2017-03-01,10663250.8738
Gas- Commercial,2017-01-01,20643265.0802
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,5687440.3768
Gas- Commercial,2017-02-01,4642590.1557
Gas- Commercial,2017-03-01,4593301.9384
Gas- Commercial,2017-01-01,15373224.9209
Gas- Commercial,2017-02-01,12370142.8291
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,312925.193
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,1096637.8409
Gas- Commercial,2017-03-01,1165821.3021
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,20680556.1655
Gas- Commercial,2017-02-01,18287228.3076
Gas- Commercial,2017-03-01,17415536.6917
Gas- Commercial,2017-01-01,7979492.4454
Gas- Commercial,2017-02-01,5758323.4317
Gas- Commercial,2017-03-01,5807411.6968
Gas- Commercial,2017-01-01,80479260.8585
Gas- Commercial,2017-02-01,71575489.3686
