ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
NA,NA,NA,Gas-,NA,NA,NA,NA
92304,1,2018,Gas- Commercial,Y,0,0,NA
92304,2,2018,Gas- Commercial,Y,0,0,NA
92304,3,2018,Gas- Commercial,Y,0,0,NA
92365,1,2018,Gas- Commercial,Y,0,0,NA
92365,2,2018,Gas- Commercial,Y,0,0,NA
92365,3,2018,Gas- Commercial,Y,0,0,NA
93203,1,2018,Gas- Commercial,Y,0,0,NA
93203,2,2018,Gas- Commercial,Y,0,0,NA
93203,3,2018,Gas- Commercial,Y,0,0,NA
93204,1,2018,Gas- Commercial,Y,0,0,NA
93204,2,2018,Gas- Commercial,Y,0,0,NA
93204,3,2018,Gas- Commercial,Y,0,0,NA
93210,1,2018,Gas- Commercial,Y,0,0,NA
93210,2,2018,Gas- Commercial,Y,0,0,NA
93210,3,2018,Gas- Commercial,Y,0,0,NA
93224,1,2018,Gas- Commercial,Y,0,0,NA
93224,2,2018,Gas- Commercial,Y,0,0,NA
93224,3,2018,Gas- Commercial,Y,0,0,NA
93234,1,2018,Gas- Commercial,Y,0,0,NA
93234,2,2018,Gas- Commercial,Y,0,0,NA
93234,3,2018,Gas- Commercial,Y,0,0,NA
93239,1,2018,Gas- Commercial,Y,0,0,NA
93239,2,2018,Gas- Commercial,Y,0,0,NA
93239,3,2018,Gas- Commercial,Y,0,0,NA
93252,1,2018,Gas- Commercial,Y,0,0,NA
93252,2,2018,Gas- Commercial,Y,0,0,NA
93252,3,2018,Gas- Commercial,Y,0,0,NA
93263,1,2018,Gas- Commercial,Y,0,0,NA
93263,2,2018,Gas- Commercial,Y,0,0,NA
93263,3,2018,Gas- Commercial,Y,0,0,NA
93268,1,2018,Gas- Commercial,Y,266,39916,150
93268,2,2018,Gas- Commercial,Y,265,34826,131
93268,3,2018,Gas- Commercial,Y,267,32635,122
93280,1,2018,Gas- Commercial,Y,0,0,NA
93280,2,2018,Gas- Commercial,Y,0,0,NA
93280,3,2018,Gas- Commercial,Y,0,0,NA
93301,1,2018,Gas- Commercial,N,1161,285157,246
93301,2,2018,Gas- Commercial,N,1163,263870,227
