ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93117,1,2018,Elec- Agricultural,Y,0,0,NA
93117,2,2018,Elec- Agricultural,Y,0,0,NA
93117,3,2018,Elec- Agricultural,Y,0,0,NA
93203,1,2018,Elec- Agricultural,Y,0,0,NA
93203,2,2018,Elec- Agricultural,Y,0,0,NA
93203,3,2018,Elec- Agricultural,Y,0,0,NA
93204,1,2018,Elec- Agricultural,Y,0,0,NA
93204,2,2018,Elec- Agricultural,Y,0,0,NA
93204,3,2018,Elec- Agricultural,Y,0,0,NA
93206,1,2018,Elec- Agricultural,N,121,3260553,26947
93206,2,2018,Elec- Agricultural,Y,0,0,NA
93206,3,2018,Elec- Agricultural,Y,0,0,NA
93210,1,2018,Elec- Agricultural,Y,0,0,NA
93210,2,2018,Elec- Agricultural,N,100,1880561,18806
93210,3,2018,Elec- Agricultural,Y,0,0,NA
93212,1,2018,Elec- Agricultural,Y,0,0,NA
93212,2,2018,Elec- Agricultural,Y,0,0,NA
93212,3,2018,Elec- Agricultural,Y,0,0,NA
93215,1,2018,Elec- Agricultural,Y,0,0,NA
93215,2,2018,Elec- Agricultural,Y,0,0,NA
93215,3,2018,Elec- Agricultural,Y,0,0,NA
93219,1,2018,Elec- Agricultural,Y,0,0,NA
93219,2,2018,Elec- Agricultural,Y,0,0,NA
93219,3,2018,Elec- Agricultural,Y,0,0,NA
93225,1,2018,Elec- Agricultural,Y,0,0,NA
93225,2,2018,Elec- Agricultural,Y,0,0,NA
93225,3,2018,Elec- Agricultural,Y,0,0,NA
93230,1,2018,Elec- Agricultural,Y,0,0,NA
93230,2,2018,Elec- Agricultural,Y,0,0,NA
93230,3,2018,Elec- Agricultural,Y,0,0,NA
93234,1,2018,Elec- Agricultural,Y,0,0,NA
93234,2,2018,Elec- Agricultural,Y,344,4392807,12770
93234,3,2018,Elec- Agricultural,Y,232,5410122,23319
93239,1,2018,Elec- Agricultural,Y,0,0,NA
93239,2,2018,Elec- Agricultural,Y,0,0,NA
93239,3,2018,Elec- Agricultural,Y,0,0,NA
93241,1,2018,Elec- Agricultural,Y,0,0,NA
93241,2,2018,Elec- Agricultural,Y,0,0,NA
93241,3,2018,Elec- Agricultural,Y,0,0,NA
93242,1,2018,Elec- Agricultural,Y,0,0,NA
93242,2,2018,Elec- Agricultural,N,239,2727827,11414
93242,3,2018,Elec- Agricultural,Y,0,0,NA
93243,1,2018,Elec- Agricultural,Y,0,0,NA
93243,2,2018,Elec- Agricultural,Y,0,0,NA
93243,3,2018,Elec- Agricultural,Y,0,0,NA
93245,1,2018,Elec- Agricultural,Y,0,0,NA
93245,2,2018,Elec- Agricultural,Y,0,0,NA
93245,3,2018,Elec- Agricultural,Y,0,0,NA
93249,1,2018,Elec- Agricultural,Y,0,0,NA
93249,2,2018,Elec- Agricultural,Y,0,0,NA
93249,3,2018,Elec- Agricultural,Y,0,0,NA
93250,1,2018,Elec- Agricultural,Y,0,0,NA
93250,2,2018,Elec- Agricultural,Y,358,4893572,13669
93250,3,2018,Elec- Agricultural,Y,259,2276839,8791
93251,1,2018,Elec- Agricultural,Y,0,0,NA
93251,2,2018,Elec- Agricultural,Y,0,0,NA
93251,3,2018,Elec- Agricultural,Y,0,0,NA
93252,1,2018,Elec- Agricultural,Y,0,0,NA
93252,2,2018,Elec- Agricultural,Y,0,0,NA
93252,3,2018,Elec- Agricultural,Y,0,0,NA
93254,1,2018,Elec- Agricultural,Y,0,0,NA
93254,2,2018,Elec- Agricultural,Y,0,0,NA
93254,3,2018,Elec- Agricultural,Y,0,0,NA
93256,1,2018,Elec- Agricultural,Y,0,0,NA
93256,2,2018,Elec- Agricultural,Y,0,0,NA
93256,3,2018,Elec- Agricultural,Y,0,0,NA
93262,1,2018,Elec- Agricultural,Y,0,0,NA
93262,2,2018,Elec- Agricultural,Y,0,0,NA
93262,3,2018,Elec- Agricultural,Y,0,0,NA
93263,1,2018,Elec- Agricultural,Y,0,0,NA
93263,2,2018,Elec- Agricultural,Y,0,0,NA
93263,3,2018,Elec- Agricultural,Y,0,0,NA
93266,1,2018,Elec- Agricultural,Y,0,0,NA
93266,2,2018,Elec- Agricultural,Y,0,0,NA
93266,3,2018,Elec- Agricultural,Y,0,0,NA
93268,1,2018,Elec- Agricultural,Y,0,0,NA
93268,2,2018,Elec- Agricultural,Y,0,0,NA
93268,3,2018,Elec- Agricultural,Y,0,0,NA
93272,1,2018,Elec- Agricultural,Y,0,0,NA
93272,2,2018,Elec- Agricultural,Y,0,0,NA
93272,3,2018,Elec- Agricultural,Y,0,0,NA
93274,1,2018,Elec- Agricultural,Y,0,0,NA
93274,2,2018,Elec- Agricultural,Y,0,0,NA
93274,3,2018,Elec- Agricultural,Y,0,0,NA
93276,1,2018,Elec- Agricultural,Y,0,0,NA
93276,2,2018,Elec- Agricultural,Y,0,0,NA
93276,3,2018,Elec- Agricultural,Y,0,0,NA
93277,1,2018,Elec- Agricultural,Y,0,0,NA
93277,2,2018,Elec- Agricultural,Y,0,0,NA
93277,3,2018,Elec- Agricultural,Y,0,0,NA
93280,1,2018,Elec- Agricultural,Y,0,0,NA
93280,2,2018,Elec- Agricultural,Y,1927,65994878,34247
93280,3,2018,Elec- Agricultural,Y,1962,52490430,26754
93286,1,2018,Elec- Agricultural,Y,0,0,NA
93286,2,2018,Elec- Agricultural,Y,195,483315,2479
93286,3,2018,Elec- Agricultural,Y,0,0,NA
93291,1,2018,Elec- Agricultural,Y,0,0,NA
93291,2,2018,Elec- Agricultural,Y,0,0,NA
93291,3,2018,Elec- Agricultural,Y,0,0,NA
93292,1,2018,Elec- Agricultural,Y,0,0,NA
93292,2,2018,Elec- Agricultural,Y,0,0,NA
93292,3,2018,Elec- Agricultural,Y,0,0,NA
93301,1,2018,Elec- Agricultural,Y,105,328364,3127
93301,2,2018,Elec- Agricultural,Y,0,0,NA
93301,3,2018,Elec- Agricultural,Y,0,0,NA
93304,1,2018,Elec- Agricultural,Y,0,0,NA
93304,2,2018,Elec- Agricultural,Y,0,0,NA
93304,3,2018,Elec- Agricultural,Y,0,0,NA
93305,1,2018,Elec- Agricultural,Y,0,0,NA
93305,2,2018,Elec- Agricultural,Y,0,0,NA
93305,3,2018,Elec- Agricultural,Y,0,0,NA
93306,1,2018,Elec- Agricultural,Y,0,0,NA
93306,2,2018,Elec- Agricultural,Y,0,0,NA
93306,3,2018,Elec- Agricultural,Y,0,0,NA
93307,1,2018,Elec- Agricultural,Y,1070,17380164,16243
93307,2,2018,Elec- Agricultural,Y,796,21706509,27269
93307,3,2018,Elec- Agricultural,Y,898,15366658,17112
93308,1,2018,Elec- Agricultural,Y,0,0,NA
93308,2,2018,Elec- Agricultural,Y,0,0,NA
93308,3,2018,Elec- Agricultural,Y,0,0,NA
93309,1,2018,Elec- Agricultural,Y,0,0,NA
93309,2,2018,Elec- Agricultural,Y,0,0,NA
93309,3,2018,Elec- Agricultural,Y,0,0,NA
93311,1,2018,Elec- Agricultural,Y,0,0,NA
93311,2,2018,Elec- Agricultural,Y,241,10474001,43461
93311,3,2018,Elec- Agricultural,Y,274,9828896,35872
93312,1,2018,Elec- Agricultural,Y,0,0,NA
93312,2,2018,Elec- Agricultural,Y,0,0,NA
93312,3,2018,Elec- Agricultural,Y,0,0,NA
93313,1,2018,Elec- Agricultural,Y,0,0,NA
