ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
94107,7,2017,Elec- Industrial,Y,0,0,NA
94107,8,2017,Elec- Industrial,Y,0,0,NA
94107,9,2017,Elec- Industrial,Y,0,0,NA
94108,7,2017,Elec- Industrial,Y,0,0,NA
94108,8,2017,Elec- Industrial,Y,0,0,NA
94108,9,2017,Elec- Industrial,Y,0,0,NA
94109,7,2017,Elec- Industrial,Y,0,0,NA
94109,8,2017,Elec- Industrial,Y,0,0,NA
94109,9,2017,Elec- Industrial,Y,0,0,NA
94111,7,2017,Elec- Industrial,Y,0,0,NA
94111,8,2017,Elec- Industrial,Y,0,0,NA
94111,9,2017,Elec- Industrial,Y,0,0,NA
94114,7,2017,Elec- Industrial,Y,0,0,NA
94114,8,2017,Elec- Industrial,Y,0,0,NA
94114,9,2017,Elec- Industrial,Y,0,0,NA
94115,7,2017,Elec- Industrial,Y,0,0,NA
94115,8,2017,Elec- Industrial,Y,0,0,NA
94115,9,2017,Elec- Industrial,Y,0,0,NA
94117,7,2017,Elec- Industrial,Y,0,0,NA
94117,8,2017,Elec- Industrial,Y,0,0,NA
94117,9,2017,Elec- Industrial,Y,0,0,NA
94118,7,2017,Elec- Industrial,Y,0,0,NA
94118,8,2017,Elec- Industrial,Y,0,0,NA
94118,9,2017,Elec- Industrial,Y,0,0,NA
94121,7,2017,Elec- Industrial,Y,0,0,NA
94121,8,2017,Elec- Industrial,Y,0,0,NA
94121,9,2017,Elec- Industrial,Y,0,0,NA
94124,7,2017,Elec- Industrial,Y,0,0,NA
94124,8,2017,Elec- Industrial,Y,0,0,NA
94124,9,2017,Elec- Industrial,Y,0,0,NA
94129,7,2017,Elec- Industrial,Y,0,0,NA
94129,8,2017,Elec- Industrial,Y,0,0,NA
94129,9,2017,Elec- Industrial,Y,0,0,NA
94132,7,2017,Elec- Industrial,Y,0,0,NA
94132,8,2017,Elec- Industrial,Y,0,0,NA
94132,9,2017,Elec- Industrial,Y,0,0,NA
94158,7,2017,Elec- Industrial,Y,0,0,NA
94158,8,2017,Elec- Industrial,Y,0,0,NA
94158,9,2017,Elec- Industrial,Y,0,0,NA
94303,7,2017,Elec- Industrial,Y,0,0,NA
94303,8,2017,Elec- Industrial,Y,0,0,NA
94303,9,2017,Elec- Industrial,Y,0,0,NA
94305,7,2017,Elec- Industrial,Y,0,0,NA
94305,8,2017,Elec- Industrial,Y,0,0,NA
94305,9,2017,Elec- Industrial,Y,0,0,NA
94401,7,2017,Elec- Industrial,Y,0,0,NA
94401,8,2017,Elec- Industrial,Y,0,0,NA
94401,9,2017,Elec- Industrial,Y,0,0,NA
94402,7,2017,Elec- Industrial,Y,0,0,NA
94402,8,2017,Elec- Industrial,Y,0,0,NA
94402,9,2017,Elec- Industrial,Y,0,0,NA
94403,7,2017,Elec- Industrial,Y,0,0,NA
94403,8,2017,Elec- Industrial,Y,0,0,NA
94403,9,2017,Elec- Industrial,Y,0,0,NA
94404,7,2017,Elec- Industrial,Y,0,0,NA
94404,8,2017,Elec- Industrial,Y,0,0,NA
94404,9,2017,Elec- Industrial,Y,0,0,NA
94503,7,2017,Elec- Industrial,Y,0,0,NA
94503,8,2017,Elec- Industrial,Y,0,0,NA
94503,9,2017,Elec- Industrial,Y,0,0,NA
94508,7,2017,Elec- Industrial,Y,0,0,NA
94508,8,2017,Elec- Industrial,Y,0,0,NA
94508,9,2017,Elec- Industrial,Y,0,0,NA
94509,7,2017,Elec- Industrial,Y,0,0,NA
94509,8,2017,Elec- Industrial,Y,0,0,NA
94509,9,2017,Elec- Industrial,Y,0,0,NA
94510,7,2017,Elec- Industrial,Y,0,0,NA
94510,8,2017,Elec- Industrial,Y,0,0,NA
94510,9,2017,Elec- Industrial,Y,0,0,NA
94513,7,2017,Elec- Industrial,Y,0,0,NA
94513,8,2017,Elec- Industrial,Y,0,0,NA
94513,9,2017,Elec- Industrial,Y,0,0,NA
94514,7,2017,Elec- Industrial,Y,0,0,NA
94514,8,2017,Elec- Industrial,Y,0,0,NA
94514,9,2017,Elec- Industrial,Y,0,0,NA
94518,7,2017,Elec- Industrial,Y,0,0,NA
94518,8,2017,Elec- Industrial,Y,0,0,NA
94518,9,2017,Elec- Industrial,Y,0,0,NA
94520,7,2017,Elec- Industrial,Y,0,0,NA
94520,8,2017,Elec- Industrial,Y,0,0,NA
94520,9,2017,Elec- Industrial,Y,0,0,NA
94523,7,2017,Elec- Industrial,Y,0,0,NA
94523,8,2017,Elec- Industrial,Y,0,0,NA
94523,9,2017,Elec- Industrial,Y,0,0,NA
94525,7,2017,Elec- Industrial,Y,0,0,NA
94525,8,2017,Elec- Industrial,Y,0,0,NA
94525,9,2017,Elec- Industrial,Y,0,0,NA
94526,7,2017,Elec- Industrial,Y,0,0,NA
94526,8,2017,Elec- Industrial,Y,0,0,NA
94526,9,2017,Elec- Industrial,Y,0,0,NA
94531,7,2017,Elec- Industrial,Y,0,0,NA
