ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,1,2021,Elec- Agricultural,Y,0,0,NA
93101,2,2021,Elec- Agricultural,Y,0,0,NA
93101,3,2021,Elec- Agricultural,Y,0,0,NA
93110,1,2021,Elec- Agricultural,Y,0,0,NA
93110,2,2021,Elec- Agricultural,Y,0,0,NA
93110,3,2021,Elec- Agricultural,Y,0,0,NA
93117,1,2021,Elec- Agricultural,Y,0,0,NA
93117,2,2021,Elec- Agricultural,Y,0,0,NA
93117,3,2021,Elec- Agricultural,Y,0,0,NA
93202,1,2021,Elec- Agricultural,Y,0,0,NA
93202,2,2021,Elec- Agricultural,Y,0,0,NA
93202,3,2021,Elec- Agricultural,Y,0,0,NA
93203,1,2021,Elec- Agricultural,Y,0,0,NA
93203,2,2021,Elec- Agricultural,Y,0,0,NA
93203,3,2021,Elec- Agricultural,Y,0,0,NA
93204,1,2021,Elec- Agricultural,Y,0,0,NA
93204,2,2021,Elec- Agricultural,Y,0,0,NA
93204,3,2021,Elec- Agricultural,Y,0,0,NA
93206,1,2021,Elec- Agricultural,Y,0,0,NA
93206,2,2021,Elec- Agricultural,Y,261,10704756,41014
93206,3,2021,Elec- Agricultural,Y,0,0,NA
93210,1,2021,Elec- Agricultural,Y,0,0,NA
93210,2,2021,Elec- Agricultural,Y,0,0,NA
93210,3,2021,Elec- Agricultural,Y,0,0,NA
93212,1,2021,Elec- Agricultural,Y,0,0,NA
93212,2,2021,Elec- Agricultural,Y,0,0,NA
93212,3,2021,Elec- Agricultural,Y,0,0,NA
93215,1,2021,Elec- Agricultural,Y,0,0,NA
93215,2,2021,Elec- Agricultural,Y,0,0,NA
93215,3,2021,Elec- Agricultural,Y,0,0,NA
93219,1,2021,Elec- Agricultural,Y,0,0,NA
93219,2,2021,Elec- Agricultural,Y,0,0,NA
93219,3,2021,Elec- Agricultural,Y,0,0,NA
93224,1,2021,Elec- Agricultural,Y,0,0,NA
93224,2,2021,Elec- Agricultural,Y,0,0,NA
93224,3,2021,Elec- Agricultural,Y,0,0,NA
93225,1,2021,Elec- Agricultural,Y,0,0,NA
93225,2,2021,Elec- Agricultural,Y,0,0,NA
93225,3,2021,Elec- Agricultural,Y,0,0,NA
93230,1,2021,Elec- Agricultural,Y,0,0,NA
93230,2,2021,Elec- Agricultural,Y,0,0,NA
93230,3,2021,Elec- Agricultural,Y,384,8411626,21905
93234,1,2021,Elec- Agricultural,Y,0,0,NA
93234,2,2021,Elec- Agricultural,Y,264,7781715,29476
93234,3,2021,Elec- Agricultural,Y,0,0,NA
93239,1,2021,Elec- Agricultural,Y,0,0,NA
93239,2,2021,Elec- Agricultural,Y,0,0,NA
93239,3,2021,Elec- Agricultural,Y,0,0,NA
93241,1,2021,Elec- Agricultural,Y,0,0,NA
93241,2,2021,Elec- Agricultural,Y,0,0,NA
93241,3,2021,Elec- Agricultural,Y,0,0,NA
93242,1,2021,Elec- Agricultural,Y,0,0,NA
93242,2,2021,Elec- Agricultural,Y,0,0,NA
93242,3,2021,Elec- Agricultural,Y,0,0,NA
93243,1,2021,Elec- Agricultural,Y,0,0,NA
93243,2,2021,Elec- Agricultural,Y,0,0,NA
93243,3,2021,Elec- Agricultural,Y,0,0,NA
93245,1,2021,Elec- Agricultural,Y,0,0,NA
93245,2,2021,Elec- Agricultural,Y,0,0,NA
93245,3,2021,Elec- Agricultural,Y,1022,30621621,29962
93249,1,2021,Elec- Agricultural,Y,0,0,NA
93249,2,2021,Elec- Agricultural,Y,0,0,NA
93249,3,2021,Elec- Agricultural,Y,0,0,NA
93250,1,2021,Elec- Agricultural,Y,0,0,NA
93250,2,2021,Elec- Agricultural,N,151,2097130,13888
93250,3,2021,Elec- Agricultural,Y,0,0,NA
93251,1,2021,Elec- Agricultural,Y,0,0,NA
93251,2,2021,Elec- Agricultural,Y,0,0,NA
93251,3,2021,Elec- Agricultural,Y,0,0,NA
93252,1,2021,Elec- Agricultural,Y,0,0,NA
93252,2,2021,Elec- Agricultural,Y,0,0,NA
93252,3,2021,Elec- Agricultural,Y,0,0,NA
