ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93611,3,2021,Gas- Commercial,Y,0,0,NA
93612,1,2021,Gas- Commercial,Y,1432,706379,493
93612,2,2021,Gas- Commercial,Y,0,0,NA
93612,3,2021,Gas- Commercial,Y,0,0,NA
93616,1,2021,Gas- Commercial,Y,0,0,NA
93616,2,2021,Gas- Commercial,Y,0,0,NA
93616,3,2021,Gas- Commercial,Y,0,0,NA
93619,1,2021,Gas- Commercial,Y,0,0,NA
93619,2,2021,Gas- Commercial,Y,0,0,NA
93619,3,2021,Gas- Commercial,Y,0,0,NA
93620,1,2021,Gas- Commercial,Y,0,0,NA
93620,2,2021,Gas- Commercial,Y,0,0,NA
93620,3,2021,Gas- Commercial,Y,0,0,NA
93622,1,2021,Gas- Commercial,Y,0,0,NA
93622,2,2021,Gas- Commercial,Y,0,0,NA
93622,3,2021,Gas- Commercial,Y,0,0,NA
93625,1,2021,Gas- Commercial,Y,0,0,NA
93625,2,2021,Gas- Commercial,Y,0,0,NA
93625,3,2021,Gas- Commercial,Y,0,0,NA
93627,1,2021,Gas- Commercial,Y,0,0,NA
93627,2,2021,Gas- Commercial,Y,0,0,NA
93627,3,2021,Gas- Commercial,Y,0,0,NA
93630,1,2021,Gas- Commercial,Y,0,0,NA
93630,2,2021,Gas- Commercial,Y,0,0,NA
93630,3,2021,Gas- Commercial,Y,0,0,NA
93635,1,2021,Gas- Commercial,Y,0,0,NA
93635,2,2021,Gas- Commercial,Y,0,0,NA
93635,3,2021,Gas- Commercial,Y,0,0,NA
93636,1,2021,Gas- Commercial,Y,0,0,NA
93636,2,2021,Gas- Commercial,Y,0,0,NA
93636,3,2021,Gas- Commercial,Y,0,0,NA
93637,1,2021,Gas- Commercial,Y,814,484971,596
93637,2,2021,Gas- Commercial,Y,710,384050,541
93637,3,2021,Gas- Commercial,Y,819,475864,581
93638,1,2021,Gas- Commercial,N,317,143294,452
93638,2,2021,Gas- Commercial,N,317,106381,336
93638,3,2021,Gas- Commercial,N,318,110608,348
93640,1,2021,Gas- Commercial,Y,0,0,NA
93640,2,2021,Gas- Commercial,Y,0,0,NA
93640,3,2021,Gas- Commercial,Y,0,0,NA
93650,1,2021,Gas- Commercial,N,117,38681,331
93650,2,2021,Gas- Commercial,Y,0,0,NA
93650,3,2021,Gas- Commercial,N,116,22215,192
93657,1,2021,Gas- Commercial,Y,0,0,NA
93657,2,2021,Gas- Commercial,Y,0,0,NA
93657,3,2021,Gas- Commercial,Y,0,0,NA
93660,1,2021,Gas- Commercial,Y,0,0,NA
93660,2,2021,Gas- Commercial,Y,0,0,NA
93660,3,2021,Gas- Commercial,Y,0,0,NA
93662,1,2021,Gas- Commercial,Y,798,480318,602
93662,2,2021,Gas- Commercial,Y,0,0,NA
93662,3,2021,Gas- Commercial,Y,465,186759,402
93668,1,2021,Gas- Commercial,Y,0,0,NA
93668,2,2021,Gas- Commercial,Y,0,0,NA
93668,3,2021,Gas- Commercial,Y,0,0,NA
93701,1,2021,Gas- Commercial,Y,0,0,NA
93701,2,2021,Gas- Commercial,Y,0,0,NA
93701,3,2021,Gas- Commercial,Y,0,0,NA
93702,1,2021,Gas- Commercial,Y,0,0,NA
93702,2,2021,Gas- Commercial,Y,0,0,NA
93702,3,2021,Gas- Commercial,Y,0,0,NA
93703,1,2021,Gas- Commercial,Y,923,279796,303
93703,2,2021,Gas- Commercial,Y,0,0,NA
93703,3,2021,Gas- Commercial,Y,0,0,NA
93704,1,2021,Gas- Commercial,Y,0,0,NA
93704,2,2021,Gas- Commercial,Y,0,0,NA
93704,3,2021,Gas- Commercial,Y,0,0,NA
93705,1,2021,Gas- Commercial,Y,0,0,NA
93705,2,2021,Gas- Commercial,Y,0,0,NA
93705,3,2021,Gas- Commercial,Y,206,74054,359
93706,1,2021,Gas- Commercial,Y,1924,1542944,802
93706,2,2021,Gas- Commercial,Y,2402,1539967,641
93706,3,2021,Gas- Commercial,Y,2414,1664370,689
93710,1,2021,Gas- Commercial,Y,0,0,NA
93710,2,2021,Gas- Commercial,Y,0,0,NA
93710,3,2021,Gas- Commercial,Y,0,0,NA
93711,1,2021,Gas- Commercial,Y,1201,290410,242
93711,2,2021,Gas- Commercial,Y,1315,250834,191
93711,3,2021,Gas- Commercial,Y,1201,233469,194
93720,1,2021,Gas- Commercial,Y,1916,812515,424
93720,2,2021,Gas- Commercial,Y,3341,1110664,332
93720,3,2021,Gas- Commercial,Y,3354,1130091,337
93721,1,2021,Gas- Commercial,Y,0,0,NA
93721,2,2021,Gas- Commercial,Y,0,0,NA
93721,3,2021,Gas- Commercial,Y,0,0,NA
93722,1,2021,Gas- Commercial,N,912,330242,362
93722,2,2021,Gas- Commercial,N,917,259388,283
93722,3,2021,Gas- Commercial,N,911,267975,294
93723,1,2021,Gas- Commercial,Y,0,0,NA
93723,2,2021,Gas- Commercial,Y,0,0,NA
93723,3,2021,Gas- Commercial,Y,0,0,NA
93725,1,2021,Gas- Commercial,Y,0,0,NA
93725,2,2021,Gas- Commercial,Y,0,0,NA
93725,3,2021,Gas- Commercial,Y,0,0,NA
93726,1,2021,Gas- Commercial,Y,1201,533838,444
93726,2,2021,Gas- Commercial,Y,1751,537555,307
93726,3,2021,Gas- Commercial,Y,1549,510141,329
93727,1,2021,Gas- Commercial,Y,1384,629963,455
93727,2,2021,Gas- Commercial,Y,2238,727056,325
93727,3,2021,Gas- Commercial,Y,1780,581553,327
93728,1,2021,Gas- Commercial,Y,0,0,NA
93728,2,2021,Gas- Commercial,Y,0,0,NA
93728,3,2021,Gas- Commercial,Y,0,0,NA
93730,1,2021,Gas- Commercial,Y,0,0,NA
93730,2,2021,Gas- Commercial,Y,0,0,NA
93730,3,2021,Gas- Commercial,Y,0,0,NA
93737,1,2021,Gas- Commercial,Y,0,0,NA
93737,2,2021,Gas- Commercial,Y,0,0,NA
93737,3,2021,Gas- Commercial,Y,0,0,NA
93740,1,2021,Gas- Commercial,Y,0,0,NA
93740,2,2021,Gas- Commercial,Y,0,0,NA
93740,3,2021,Gas- Commercial,Y,0,0,NA
93741,1,2021,Gas- Commercial,Y,0,0,NA
93741,2,2021,Gas- Commercial,Y,0,0,NA
93741,3,2021,Gas- Commercial,Y,0,0,NA
93901,1,2021,Gas- Commercial,N,1080,347345,322
93901,2,2021,Gas- Commercial,N,1080,294712,273
93901,3,2021,Gas- Commercial,N,1081,324761,300
93905,1,2021,Gas- Commercial,Y,400,153226,383
93905,2,2021,Gas- Commercial,N,375,131539,351
93905,3,2021,Gas- Commercial,N,375,151162,403
93906,1,2021,Gas- Commercial,N,401,175149,437
93906,2,2021,Gas- Commercial,N,403,156477,388
93906,3,2021,Gas- Commercial,N,402,172597,429
93907,1,2021,Gas- Commercial,Y,526,192135,365
93907,2,2021,Gas- Commercial,Y,526,172755,328
93907,3,2021,Gas- Commercial,Y,527,195407,371
93908,1,2021,Gas- Commercial,Y,0,0,NA
93908,2,2021,Gas- Commercial,N,125,441739,3534
93908,3,2021,Gas- Commercial,Y,0,0,NA
93921,1,2021,Gas- Commercial,N,146,40223,276
93921,2,2021,Gas- Commercial,N,146,44893,307
93921,3,2021,Gas- Commercial,N,147,55585,378
93923,1,2021,Gas- Commercial,N,352,147807,420
93923,2,2021,Gas- Commercial,Y,0,0,NA
93923,3,2021,Gas- Commercial,Y,0,0,NA
93924,1,2021,Gas- Commercial,Y,0,0,NA
93924,2,2021,Gas- Commercial,Y,0,0,NA
93924,3,2021,Gas- Commercial,Y,0,0,NA
93925,1,2021,Gas- Commercial,Y,0,0,NA
93925,2,2021,Gas- Commercial,Y,0,0,NA
93925,3,2021,Gas- Commercial,Y,0,0,NA
93926,1,2021,Gas- Commercial,Y,0,0,NA
93926,2,2021,Gas- Commercial,Y,0,0,NA
93926,3,2021,Gas- Commercial,Y,0,0,NA
93927,1,2021,Gas- Commercial,Y,0,0,NA
93927,2,2021,Gas- Commercial,Y,0,0,NA
93927,3,2021,Gas- Commercial,Y,0,0,NA
93930,1,2021,Gas- Commercial,Y,1023,968620,947
93930,2,2021,Gas- Commercial,Y,797,328730,412
93930,3,2021,Gas- Commercial,Y,0,0,NA
93933,1,2021,Gas- Commercial,N,296,84867,287
93933,2,2021,Gas- Commercial,N,297,77998,263
93933,3,2021,Gas- Commercial,N,295,91058,309
93940,1,2021,Gas- Commercial,N,1076,536467,499
93940,2,2021,Gas- Commercial,Y,1831,869949,475
93940,3,2021,Gas- Commercial,Y,1832,1033552,564
93944,1,2021,Gas- Commercial,Y,0,0,NA
93944,2,2021,Gas- Commercial,Y,0,0,NA
93944,3,2021,Gas- Commercial,Y,0,0,NA
93950,1,2021,Gas- Commercial,Y,303,152046,502
93950,2,2021,Gas- Commercial,Y,0,0,NA
93950,3,2021,Gas- Commercial,Y,0,0,NA
93953,1,2021,Gas- Commercial,Y,0,0,NA
93953,2,2021,Gas- Commercial,Y,0,0,NA
93953,3,2021,Gas- Commercial,Y,0,0,NA
93955,1,2021,Gas- Commercial,N,463,150003,324
93955,2,2021,Gas- Commercial,N,462,136351,295
93955,3,2021,Gas- Commercial,N,462,159708,346
93960,1,2021,Gas- Commercial,Y,0,0,NA
93960,2,2021,Gas- Commercial,Y,0,0,NA
93960,3,2021,Gas- Commercial,Y,755,783142,1037
94002,1,2021,Gas- Commercial,Y,0,0,NA
94002,2,2021,Gas- Commercial,Y,0,0,NA
94002,3,2021,Gas- Commercial,Y,0,0,NA
94005,1,2021,Gas- Commercial,Y,0,0,NA
94005,2,2021,Gas- Commercial,Y,0,0,NA
94005,3,2021,Gas- Commercial,Y,0,0,NA
94010,1,2021,Gas- Commercial,N,822,427039,520
94010,2,2021,Gas- Commercial,Y,1050,447779,426
94010,3,2021,Gas- Commercial,N,821,435783,531
94014,1,2021,Gas- Commercial,Y,553,331274,599
94014,2,2021,Gas- Commercial,Y,555,295194,532
94014,3,2021,Gas- Commercial,Y,555,336517,606
94015,1,2021,Gas- Commercial,N,284,235094,828
94015,2,2021,Gas- Commercial,N,283,213494,754
94015,3,2021,Gas- Commercial,N,284,244895,862
94019,1,2021,Gas- Commercial,Y,0,0,NA
94019,2,2021,Gas- Commercial,Y,0,0,NA
94019,3,2021,Gas- Commercial,Y,0,0,NA
94022,1,2021,Gas- Commercial,Y,0,0,NA
94022,2,2021,Gas- Commercial,Y,0,0,NA
94022,3,2021,Gas- Commercial,Y,0,0,NA
94024,1,2021,Gas- Commercial,Y,0,0,NA
94024,2,2021,Gas- Commercial,Y,0,0,NA
94024,3,2021,Gas- Commercial,Y,0,0,NA
94025,1,2021,Gas- Commercial,Y,913,885416,970
94025,2,2021,Gas- Commercial,Y,0,0,NA
94025,3,2021,Gas- Commercial,Y,1048,940582,898
94027,1,2021,Gas- Commercial,Y,0,0,NA
94027,2,2021,Gas- Commercial,Y,0,0,NA
94027,3,2021,Gas- Commercial,Y,0,0,NA
94028,1,2021,Gas- Commercial,Y,0,0,NA
94028,2,2021,Gas- Commercial,Y,0,0,NA
94028,3,2021,Gas- Commercial,Y,0,0,NA
94030,1,2021,Gas- Commercial,Y,272,172343,634
94030,2,2021,Gas- Commercial,Y,272,157495,579
94030,3,2021,Gas- Commercial,Y,276,190833,691
94038,1,2021,Gas- Commercial,Y,0,0,NA
94038,2,2021,Gas- Commercial,Y,0,0,NA
94038,3,2021,Gas- Commercial,Y,0,0,NA
94040,1,2021,Gas- Commercial,Y,0,0,NA
94040,2,2021,Gas- Commercial,Y,0,0,NA
94040,3,2021,Gas- Commercial,Y,0,0,NA
94041,1,2021,Gas- Commercial,Y,0,0,NA
94041,2,2021,Gas- Commercial,Y,0,0,NA
94041,3,2021,Gas- Commercial,Y,0,0,NA
94043,1,2021,Gas- Commercial,Y,1674,1367537,817
94043,2,2021,Gas- Commercial,Y,0,0,NA
94043,3,2021,Gas- Commercial,Y,1887,1746352,925
94044,1,2021,Gas- Commercial,Y,311,95763,308
94044,2,2021,Gas- Commercial,Y,311,90473,291
94044,3,2021,Gas- Commercial,Y,313,100223,320
94061,1,2021,Gas- Commercial,Y,0,0,NA
94061,2,2021,Gas- Commercial,Y,0,0,NA
94061,3,2021,Gas- Commercial,Y,0,0,NA
94062,1,2021,Gas- Commercial,Y,227,147437,650
94062,2,2021,Gas- Commercial,Y,0,0,NA
94062,3,2021,Gas- Commercial,Y,226,135591,600
94063,1,2021,Gas- Commercial,N,1019,650562,638
94063,2,2021,Gas- Commercial,Y,0,0,NA
94063,3,2021,Gas- Commercial,Y,4354,2538776,583
94065,1,2021,Gas- Commercial,Y,0,0,NA
94065,2,2021,Gas- Commercial,Y,0,0,NA
94065,3,2021,Gas- Commercial,Y,0,0,NA
94066,1,2021,Gas- Commercial,N,423,184614,436
94066,2,2021,Gas- Commercial,N,420,168222,401
94066,3,2021,Gas- Commercial,N,421,204987,487
94070,1,2021,Gas- Commercial,N,937,297748,318
94070,2,2021,Gas- Commercial,Y,3920,1994680,509
94070,3,2021,Gas- Commercial,Y,0,0,NA
94080,1,2021,Gas- Commercial,N,1049,1289310,1229
94080,2,2021,Gas- Commercial,N,1054,1107275,1051
94080,3,2021,Gas- Commercial,N,1057,1397291,1322
94085,1,2021,Gas- Commercial,Y,0,0,NA
94085,2,2021,Gas- Commercial,Y,0,0,NA
94085,3,2021,Gas- Commercial,Y,0,0,NA
94086,1,2021,Gas- Commercial,Y,0,0,NA
94086,2,2021,Gas- Commercial,N,369,245367,665
94086,3,2021,Gas- Commercial,N,368,269756,733
94087,1,2021,Gas- Commercial,Y,0,0,NA
94087,2,2021,Gas- Commercial,Y,0,0,NA
94087,3,2021,Gas- Commercial,Y,0,0,NA
